status;avg_length;has_numbers;has_underscore;has_uppercase;has_lowercase;is_alphanumeric
Доступно для покупки;10,4;0,1;0,1;0,9;1,0;0,9
Занято;11,7;0,1;0,4;0,9;1,0;0,6
Невозможно определить;14,3;0,2;0,5;1,0;1,0;0,4
Продано;6,7;0,0;0,0;1,0;1,0;1,0
Свободно;14,7;0,2;0,6;0,9;1,0;0,4
;;;;;;
