,Username,Price
0,cookieconsent,5478.0
1,winner,5100.0
2,yfyl,5050.0
4,pigu,5050.0
5,pg28,5050.0
3,ying,5050.0
6,satoshifriends70,2700.0
7,submit,1560.0
8,sympathy,1208.0
9,shiver,978.0
10,emote,890.0
11,until,888.0
12,mommy,628.0
13,virginity,598.0
14,darby,541.0
15,fault,541.0
16,asiacryptotoday,525.0
19,randomized,515.0
20,poisonous,515.0
18,griffith,515.0
