Price Cluster;count;mean;min;max;median;std
0;410;12.59819512195122;1.0;56.0;10.0;8.425941092069047
1;5;5060.0;5050.0;5100.0;5050.0;22.360679774997834
2;1;1560.0;1560.0;1560.0;1560.0;
3;10;529.3;400.0;628.0;520.0;59.89815430285719
4;56;100.69821428571429;63.0;125.0;104.0;12.67976901239893
5;1;2700.0;2700.0;2700.0;2700.0;
6;3;918.6666666666666;888.0;978.0;890.0;51.393903659221415
7;13;243.30769230769232;186.0;320.0;233.0;48.5770601130901
8;1;1208.0;1208.0;1208.0;1208.0;
