Price Cluster Grouped;count;mean;min;max;median;std
400+;20;1920.85;515.0;5100.0;889.0;1927.9191475457897
1-56;410;12.59819512195122;1.0;56.0;10.0;8.425941092069047
63-400;70;131.45857142857145;63.0;400.0;104.0;68.61931213535739
