Username,Length,Has_Numbers,Has_Underscore,Is_Alphanumeric,Has_Bot_Suffix,Length_Without_At
@slotsslots,11,False,False,True,False,10
@sochifeya01,12,True,False,True,False,11
@soraia,7,False,False,True,False,6
@squbidu,8,False,False,True,False,7
@st_kitts_and_nevis,19,False,True,False,False,18
@swapknife,10,False,False,True,False,9
@swazibank,10,False,False,True,False,9
@swingreversal,14,False,False,True,False,13
@technologyton,14,False,False,True,False,13
@telejato,9,False,False,True,False,8
@theforevervirgin,17,False,False,True,False,16
@tiktokgeft,11,False,False,True,False,10
@tokenoi,8,False,False,True,False,7
@tokyoretail,12,False,False,True,False,11
@tonprague,10,False,False,True,False,9
@tpabloescobr,13,False,False,True,False,12
@tracklessbank,14,False,False,True,False,13
@traveljeddah,13,False,False,True,False,12
@umk33,6,True,False,True,False,5
@us_avia,8,False,True,False,False,7
@usacore,8,False,False,True,False,7
@usedcars_ru,12,False,True,False,False,11
@vag_msk,8,False,True,False,False,7
@voidd,6,False,False,True,False,5
@waifu_coin,11,False,True,False,False,10
@web3storeapp,13,True,False,True,False,12
@webreselle,11,False,False,True,False,10
@wikicoin,9,False,False,True,False,8
@williampercentrange,20,False,False,True,False,19
@wordiply,9,False,False,True,False,8
@ylanast,8,False,False,True,False,7
@yonomiru,9,False,False,True,False,8
@zcaa6_id,9,True,True,False,False,8
@zongpai,8,False,False,True,False,7
@pycckoe_mecto,14,False,True,False,False,13
@rewindpendant,14,False,False,True,False,13
@sanjarbek0510,14,True,False,True,False,13
@chibimarukochan,16,False,False,True,False,15
@cryptotetragrammaton,21,False,False,True,False,20
@gamemode_creatine,18,False,True,False,False,17
@yifanfu_niubi,14,False,True,False,False,13
@yifanfu_niubiplus,18,False,True,False,False,17
@camilota,9,False,False,True,False,8
@duroveschannel,15,False,False,True,False,14
@everbroadcast,14,False,False,True,False,13
@fiatpandacross,15,False,False,True,False,14
@harrods_uk,11,False,True,False,False,10
@its_akx,8,False,True,False,False,7
@liganjie,9,False,False,True,False,8
@multiple_ai,12,False,True,False,False,11
@povmovies,10,False,False,True,False,9
@pradalini,10,False,False,True,False,9
@toncrease,10,False,False,True,False,9
@toshkent_xabarlar_rasmiy,25,False,True,False,False,24
@x19491001,10,True,False,True,False,9
@botserischiness,16,False,False,True,False,15
@lop_hoc_dong_gai_xinh,22,False,True,False,False,21
@mominlar_mominalar_musulmonlar,31,False,True,False,False,30
@smells_weed_music,18,False,True,False,False,17
@sor_y,6,False,True,False,False,5
@dobro_reviews,14,False,True,False,False,13
@heiko_hh,9,False,True,False,False,8
@nimanoroziyan,14,False,False,True,False,13
@vaalavatar,11,False,False,True,False,10
@chattenone,11,False,False,True,False,10
@escort_sofia,13,False,True,False,False,12
@healthpros,11,False,False,True,False,10
@iakrutou,9,False,False,True,False,8
@leonar,7,False,False,True,False,6
@ontonena,9,False,False,True,False,8
@streamer4ort,13,True,False,True,False,12
@v3223,6,True,False,True,False,5
@freeminthunter,15,False,False,True,False,14
@nasdaqnewyork,14,False,False,True,False,13
@a_nn6,6,True,True,False,False,5
@aars2,6,True,False,True,False,5
@adolatci,9,False,False,True,False,8
@adstelegramapp,15,False,False,True,False,14
@adudhabicrypto,15,False,False,True,False,14
@agile_author,13,False,True,False,False,12
@aigold,7,False,False,True,False,6
@al_hilal_club,14,False,True,False,False,13
@amannewyork,12,False,False,True,False,11
@americann_1,12,True,True,False,False,11
@anonymkid,10,False,False,True,False,9
@argentarcher,13,False,False,True,False,12
@awesomeoscillator,18,False,False,True,False,17
@babyandbeyond,14,False,False,True,False,13
@baidian,8,False,False,True,False,7
@banksdubai,11,False,False,True,False,10
@bbcdude,8,False,False,True,False,7
@beijinggou,11,False,False,True,False,10
@bep200,7,True,False,True,False,6
@berlusqoni,11,False,False,True,False,10
@bestroma,9,False,False,True,False,8
@bitstarz_tg,12,False,True,False,False,11
@bjargo,7,False,False,True,False,6
@blockchainase,14,False,False,True,False,13
@bmw_x3,7,True,True,False,False,6
@bonusy_onlain,14,False,True,False,False,13
@btcccasino,11,False,False,True,False,10
@buyflipkar,11,False,False,True,False,10
@candy_doll_laura_b,19,False,True,False,False,18
@carpules,9,False,False,True,False,8
@carsharinguae,14,False,False,True,False,13
@casino_montecarlo,18,False,True,False,False,17
@ccsorter,9,False,False,True,False,8
@cefinews,9,False,False,True,False,8
@chinadefense,13,False,False,True,False,12
@chinasports,12,False,False,True,False,11
@chrish,7,False,False,True,False,6
@citywallet,11,False,False,True,False,10
@comingling,11,False,False,True,False,10
@counterstrike_bets,19,False,True,False,False,18
@cr_7_fans,10,True,True,False,False,9
@cricket_fantasy_11_team_dream,30,True,True,False,False,29
@cryengine_metaverse,20,False,True,False,False,19
@cryptoboyswag,14,False,False,True,False,13
@cryptocrysa,12,False,False,True,False,11
@cryptoscammersite,18,False,False,True,False,17
@cskh6623online,15,True,False,True,False,14
