;length;has_numbers;has_underscore;is_alpha;cluster;Price
length;1.0;-0.5099250777375637;0.7533990064322368;-0.3370469239302113;0.9470037157983324;0.6344412685745154
has_numbers;-0.5099250777375637;1.0;-0.40824829046386296;-0.408248290463863;-0.24999999999999997;-0.6123724356957945
has_underscore;0.7533990064322368;-0.40824829046386296;1.0;-0.6666666666666666;0.6123724356957945;0.6666666666666666
is_alpha;-0.3370469239302113;-0.408248290463863;-0.6666666666666666;1.0;-0.408248290463863;-0.16666666666666669
cluster;0.9470037157983324;-0.24999999999999997;0.6123724356957945;-0.408248290463863;1.0;0.40824829046386313
Price;0.6344412685745154;-0.6123724356957945;0.6666666666666666;-0.16666666666666669;0.40824829046386313;1.0
